responses,TP,n,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
9.454545454545455,absent,11.176470588235293,1,9.454545454545455,absent,1.9168144180452074,0.8544859380372368,1.0656117992051735,6.686168412776757
9.454545454545455,present,11.176470588235293,1,9.454545454545455,present,4.702704971772172,1.660700829945019,2.2351145749533514,9.16314310179635
9.545454545454545,absent,11.176470588235293,1,9.545454545454545,absent,1.8719649596012988,0.8298896684464295,1.058400120880419,6.617665840095178
9.545454545454545,present,11.176470588235293,1,9.545454545454545,present,4.617117695866401,1.6620889543353459,2.1771303233758053,9.105819859220722
9.636363636363637,absent,11.176470588235293,1,9.636363636363637,absent,1.8285770311942864,0.804607154264719,1.0520134672801322,6.545627413103775
9.636363636363637,present,11.176470588235293,1,9.636363636363637,present,4.5299683738898775,1.659590839011486,2.117716668977627,9.038322824789356
9.727272727272727,absent,11.176470588235293,1,9.727272727272727,absent,1.7846278823425021,0.778637783182066,1.0462286211907061,6.456263885110293
9.727272727272727,present,11.176470588235293,1,9.727272727272727,present,4.446596096768946,1.6581684044338512,2.06124101836653,8.989590023276477
9.818181818181818,absent,11.176470588235293,1,9.818181818181818,absent,1.7454519921710474,0.7537796130122436,1.0412830801494968,6.399634535556905
9.818181818181818,present,11.176470588235293,1,9.818181818181818,present,4.363612134456902,1.6505962801432472,2.0090540904097276,8.935636002440843
9.90909090909091,absent,11.176470588235293,1,9.90909090909091,absent,1.7072237927752871,0.7292348483465164,1.036804868301799,6.3332340116898465
9.90909090909091,present,11.176470588235293,1,9.90909090909091,present,4.280452833442698,1.646530904364096,1.9593142329115456,8.870721117424994
10,absent,11.176470588235293,1,10,absent,1.6698256886806444,0.7042970125898514,1.0328705279349137,6.260623280310553
10,present,11.176470588235293,1,10,present,4.2020267535343585,1.6427967589264048,1.9112035808362802,8.820323660685784
